,Cond,Date,Chamber,ph,DW,ER,RR,DW,Cond,pH,Day,pH,DW,CR,FR,AE,POM,SFG,
,Fed,1,2,8,0.029,4.6676937,0.08319071,0.0292,1,8,NA,NA,NA,NA,NA,NA,NA,NA,
91,Fed,1,3,8,0.017,NA,NA,0.0168,1,8,NA,NA,NA,NA,NA,NA,NA,NA,
97,Fed,1,4,8,0.031,2.4471283,0.08467335,0.0309,1,8,NA,NA,NA,NA,NA,NA,NA,NA,
103,Fed,1,5,8,0.037,3.5465155,0.10026147,0.037,1,8,NA,NA,NA,NA,NA,NA,NA,NA,
109,Fed,1,6,8,0.03,4.2154749,0.10645217,0.0295,1,8,NA,NA,NA,NA,NA,NA,NA,NA,
115,Fed,1,7,8,0.045,2.5826304,0.06902219,0.0451,1,8,NA,NA,NA,NA,NA,NA,NA,NA,
121,Fed,1,8,8,0.046,NA,NA,0.0462,1,8,NA,NA,NA,NA,NA,NA,NA,NA,
43,Fed,1,2,7.5,0.031,4.0202821,0.1342755,0.0307,1,7.5,NA,NA,NA,NA,NA,NA,NA,NA,
49,Fed,1,3,7.5,0.019,2.7877331,0.16438887,0.0188,1,7.5,NA,NA,NA,NA,NA,NA,NA,NA,
55,Fed,1,4,7.5,0.029,6.2645363,0.13309128,0.0285,1,7.5,NA,NA,NA,NA,NA,NA,NA,NA,
61,Fed,1,5,7.5,0.035,4.9761937,0.17320654,0.0347,1,7.5,NA,NA,NA,NA,NA,NA,NA,NA,
67,Fed,1,6,7.5,0.04,4.597091,0.11722182,0.0396,1,7.5,NA,NA,NA,NA,NA,NA,NA,NA,
73,Fed,1,7,7.5,0.024,3.0667951,0.09018422,0.0238,1,7.5,NA,NA,NA,NA,NA,NA,NA,NA,
79,Fed,1,8,7.5,0.023,4.1305341,0.06399938,0.0231,1,7.5,NA,NA,NA,NA,NA,NA,NA,NA,
1,Fed,1,2,7,0.023,1.7702289,0.0616061,0.0227,1,7,NA,NA,NA,NA,NA,NA,NA,NA,
7,Fed,1,3,7,0.027,2.8267999,0.06511309,0.0267,1,7,NA,NA,NA,NA,NA,NA,NA,NA,
13,Fed,1,4,7,0.021,NA,NA,0.021,1,7,NA,NA,NA,NA,NA,NA,NA,NA,
19,Fed,1,5,7,0.02,NA,NA,0.0204,1,7,NA,NA,NA,NA,NA,NA,NA,NA,
25,Fed,1,6,7,0.027,3.1517194,0.13602983,0.027,1,7,NA,NA,NA,NA,NA,NA,NA,NA,
31,Fed,1,7,7,0.02,2.9653229,0.08361108,0.0197,1,7,NA,NA,NA,NA,NA,NA,NA,NA,
37,Fed,1,8,7,0.017,5.2914778,0.05251885,0.0173,1,7,NA,NA,NA,NA,NA,NA,NA,NA,
86,Fed,2,2,8,0.04,2.0246256,0.08141774,0.0402,1,8,1,8,0.0402,NA,NA,NA,2.38,NA,
92,Fed,2,3,8,0.05,3.1152398,0.07989382,0.0503,1,8,1,8,0.0503,0.6237059,4.459174,0.45,2.38,5.7044613,
98,Fed,2,4,8,0.065,3.4572536,0.07705783,0.0648,1,8,1,8,0.0648,0.414797,3.610503,0.32,2.38,2.0986907,
104,Fed,2,5,8,0.082,3.4989683,0.1001325,0.0819,1,8,1,8,0.0819,0.3460383,3.585351,0.37,2.38,1.6590373,
110,Fed,2,6,8,0.049,3.1653583,0.07478972,0.049,1,8,1,8,0.049,0.5546508,3.905834,0.44,2.38,4.874325,
116,Fed,2,7,8,0.072,3.0990662,0.07862086,0.0717,1,8,1,8,0.0717,NA,NA,NA,2.38,NA,
122,Fed,2,8,8,0.07,2.9698018,0.10880031,0.07,1,8,1,8,0.07,NA,NA,NA,2.38,NA,
44,Fed,2,2,7.5,0.08,2.6862517,0.08669405,0.0802,1,7.5,1,7.5,0.0802,0.5470671,5.564231,0.61,2.38,6.9240003,
50,Fed,2,3,7.5,0.063,2.3125384,0.07539514,0.0634,1,7.5,1,7.5,0.0634,NA,NA,NA,2.38,NA,
56,Fed,2,4,7.5,0.09,1.6819241,0.12921466,0.09,1,7.5,1,7.5,0.09,0.342785,3.808472,0.45,2.38,1.9416105,
62,Fed,2,5,7.5,0.046,2.7514664,0.10150559,0.0456,1,7.5,1,7.5,0.0456,0.5445981,3.657561,0.4,2.38,3.8662679,
68,Fed,2,6,7.5,0.052,4.3947725,0.1408824,0.0524,1,7.5,1,7.5,0.0524,0.5990148,4.410493,NA,2.38,NA,
74,Fed,2,7,7.5,0.058,4.0315396,0.17715344,0.0577,1,7.5,1,7.5,0.0577,0.5431795,4.340717,0.34,2.38,1.9602059,
80,Fed,2,8,7.5,0.049,4.2204778,0.11311033,0.0488,1,7.5,1,7.5,0.0488,0.450841,3.174809,0.3,2.38,1.6368927,
2,Fed,2,2,7,0.025,4.0398612,0.10655419,0.0252,1,7,1,7,0.0252,0.6179914,2.627148,NA,2.38,NA,
8,Fed,2,3,7,0.045,3.7328776,0.0526672,0.0454,1,7,1,7,0.0454,0.5827569,3.849851,NA,2.38,NA,
14,Fed,2,4,7,0.05,4.6928291,0.07532828,0.0504,1,7,1,7,0.0504,0.6422037,4.591424,0.22,2.38,2.3024247,
20,Fed,2,5,7,0.08,5.152093,0.13344886,0.0802,1,7,1,7,0.0802,0.4168016,4.239298,0.24,2.38,0.4631259,
26,Fed,2,6,7,0.035,5.1614775,0.13142357,0.0347,1,7,1,7,0.0347,0.5710618,3.124505,NA,2.38,NA,
32,Fed,2,7,7,0.039,NA,0.08451909,0.0387,1,7,1,7,0.0387,0.5679742,3.370344,0.23,2.38,1.5390849,
38,Fed,2,8,7,0.05,5.671334,0.08522042,0.0499,1,7,1,7,0.0499,0.546537,3.907457,0.25,2.38,2.0253026,
87,Fed,3,2,8,0.111,1.7654528,0.15969478,0.1108,1,8,2,8,0.1108,0.5639266,8.234646,0.37,2.48,3.065789,
93,Fed,3,3,8,0.107,NA,NA,0.1067,1,8,2,8,0.1067,0.4902449,6.964357,0.39,2.48,1.9260298,
99,Fed,3,4,8,0.064,1.363795,0.197,0.0641,1,8,2,8,0.0641,0.5754419,5.559894,0.29,2.48,1.4740593,
105,Fed,3,5,8,0.116,NA,NA,0.1159,1,8,2,8,0.1159,NA,NA,NA,2.48,NA,
111,Fed,3,6,8,0.096,1.1927761,0.197,0.0959,1,8,2,8,0.0959,0.6175222,8.086975,0.54,2.48,5.7566744,
117,Fed,3,7,8,0.095,3.7042667,0.13,0.095,1,8,2,8,0.095,NA,NA,NA,2.48,NA,
123,Fed,3,8,8,0.116,1.5818019,0.183,0.1157,1,8,2,8,0.1157,0.5491206,8.287839,0.47,2.48,4.0092024,
45,Fed,3,2,7.5,0.178,4.7163633,0.172,0.1781,1,7.5,2,7.5,0.1781,0.6154583,12.806891,0.45,2.48,4.5674229,
51,Fed,3,3,7.5,0.068,0.798806,0.109,0.0679,1,7.5,2,7.5,0.0679,0.5049509,5.105766,0.37,2.48,3.2394434,
57,Fed,3,4,7.5,0.073,0.5331269,0.095,0.0725,1,7.5,2,7.5,0.0725,NA,NA,NA,2.48,NA,
63,Fed,3,5,7.5,0.124,2.2509302,0.167,0.124,1,7.5,2,7.5,0.124,0.4972617,7.89008,0.12,2.48,-0.8648371,
69,Fed,3,6,7.5,0.126,4.8398114,0.19,0.1241,1,7.5,2,7.5,0.1241,0.2442313,3.922016,0.18,2.48,-1.6481935,
75,Fed,3,7,7.5,0.128,7.6878664,0.236,0.1278,1,7.5,2,7.5,0.1364,0.3362478,5.463829,0.25,2.48,-1.3403916,
81,Fed,3,8,7.5,0.128,5.1790942,0.14,0.1275,1,7.5,2,7.5,0.1275,0.2180579,3.543311,NA,2.48,NA,
3,Fed,3,2,7,0.096,6.3932796,0.153,0.0955,1,7,2,7,0.0955,0.3816319,4.997792,0.38,2.48,1.4105711,
9,Fed,3,3,7,0.05,7.688252,0.206,0.0499,1,7,2,7,0.0499,0.5467281,4.389641,0.5,2.48,3.9282774,
15,Fed,3,4,7,0.066,NA,NA,0.0658,1,7,2,7,0.0658,0.5407138,5.346327,0.55,2.48,NA,
21,Fed,3,5,7,0.071,9.3550813,0.197,0.0712,1,7,2,7,0.0712,0.4553396,4.755643,0.32,2.48,0.7477668,
27,Fed,3,6,7,0.086,8.2227386,0.239,0.0861,1,7,2,7,0.0861,0.466135,5.621027,0.42,2.48,1.4695859,
33,Fed,3,7,7,0.045,NA,0.168,0.0446,1,7,2,7,0.0446,0.3571076,2.649346,0.28,2.48,-0.2133995,
39,Fed,3,8,7,0.075,8.7702134,0.21,0.0746,1,7,2,7,0.0746,0.3530303,3.841829,0.63,2.48,2.5445675,
88,Fed,4,2,8,0.179,2.8362786,0.10294201,0.1787,1,8,3,8,0.1787,0.4868028,8.926988,0.36,2.85,3.6478058,
94,Fed,4,3,8,0.108,3.7929214,0.12276964,0.1075,1,8,3,8,0.1075,NA,NA,NA,2.85,NA,
100,Fed,4,4,8,0.117,2.9177789,0.10392053,0.117,1,8,3,8,0.117,0.665978,8.845792,0.29,2.85,4.1586143,
106,Fed,4,5,8,0.164,3.6799969,0.0798714,0.1641,1,8,3,8,0.1641,NA,NA,NA,2.85,NA,
112,Fed,4,6,8,0.215,NA,NA,0.2152,1,8,3,8,0.2152,0.4425956,9.291446,0.43,2.85,NA,
118,Fed,4,7,8,0.194,3.2568426,0.12559183,0.194,1,8,3,8,0.194,0.497464,9.659807,0.44,2.85,4.6049063,
124,Fed,4,8,8,0.158,NA,NA,0.1584,1,8,3,8,0.1584,0.4631268,7.710001,0.33,2.85,NA,
46,Fed,4,2,7.5,0.154,3.719718,0.10460582,0.1541,1,7.5,3,7.5,0.1541,0.6546486,10.918139,0.51,2.85,8.2724801,
52,Fed,4,3,7.5,0.129,NA,NA,0.1287,1,7.5,3,7.5,0.1287,0.5344309,7.804296,0.49,2.85,NA,
58,Fed,4,4,7.5,0.187,4.8389937,0.14774426,0.187,1,7.5,3,7.5,0.187,0.4428845,8.544202,0.37,2.85,2.6357622,
64,Fed,4,5,7.5,0.133,4.7572951,0.17756516,0.1329,1,7.5,3,7.5,0.1329,0.4089043,6.109564,0.46,2.85,2.9336032,
70,Fed,4,6,7.5,0.129,4.0423236,0.20547541,0.1285,1,7.5,3,7.5,0.1285,0.5794256,8.461353,0.44,2.85,4.5287477,
76,Fed,4,7,7.5,0.139,3.1875317,0.19491156,0.1386,1,7.5,3,7.5,0.1386,0.4955543,7.653361,0.4,2.85,3.0278381,
82,Fed,4,8,7.5,0.181,3.2668226,0.10412366,0.1814,1,7.5,3,7.5,0.1814,0.4809525,9.054427,0.4,2.85,4.124946,
4,Fed,4,2,7,0.118,NA,NA,0.1179,1,7,3,7,0.1179,0.2915773,4.075769,0.34,2.85,NA,
10,Fed,4,3,7,0.074,6.9444598,0.14789218,0.0738,1,7,3,7,0.0738,0.4327703,4.018311,0.42,2.85,3.108288,
16,Fed,4,4,7,0.099,NA,NA,0.099,1,7,3,7,0.099,0.5673279,6.552739,0.38,2.85,NA,
22,Fed,4,5,7,0.129,3.0317427,0.09623449,0.1286,1,7,3,7,0.1286,0.8043135,11.330002,0.48,2.85,9.9435474,
28,Fed,4,6,7,0.132,2.1053565,0.06462803,0.1322,1,7,3,7,0.1322,0.802433,11.500098,0.52,2.85,11.327426,
34,Fed,4,7,7,0.087,NA,NA,0.0873,1,7,3,7,0.0873,0.6428297,6.739035,0.48,2.85,NA,
40,Fed,4,8,7,0.062,2.0049831,0.05755776,0.0624,1,7,3,7,0.0624,NA,NA,NA,2.85,NA,
89,Fed,5,2,8,0.218,NA,NA,0.2177,1,8,4,8,0.2177,0.3874317,5.80534,0.61,2.48,NA,
95,Fed,5,3,8,0.316,4.8259092,0.16738689,0.3164,1,8,4,8,0.3164,0.6594872,13.054548,0.56,2.48,6.9979607,
101,Fed,5,4,8,0.186,2.2140239,0.1108624,0.1856,1,8,4,8,0.1856,0.7849865,10.44208,0.54,2.48,9.2524053,
107,Fed,5,5,8,0.334,NA,NA,0.3337,1,8,4,8,0.3337,0.6686721,13.797907,0.55,2.48,NA,
113,Fed,5,6,8,0.183,2.2426482,0.10690554,0.1833,1,8,4,8,0.1833,0.5629617,7.39788,0.5,2.48,5.6587264,
119,Fed,5,7,8,0.275,NA,NA,0.2753,1,8,4,8,0.2753,NA,NA,NA,2.48,NA,
125,Fed,5,8,8,0.263,2.6200954,0.11512272,0.2633,1,8,4,8,0.2633,0.6201372,10.696575,0.54,2.48,6.9021637,
47,Fed,5,2,7.5,0.192,NA,NA,0.1924,1,7.5,4,7.5,0.1924,0.3279215,4.447775,0.69,2.48,NA,
53,Fed,5,3,7.5,0.186,4.2229145,0.14226065,0.186,1,7.5,4,7.5,0.186,0.7762146,10.280483,0.6,2.48,9.8347221,
59,Fed,5,4,7.5,0.31,4.5735434,0.14982375,0.31,1,7.5,4,7.5,0.31,0.6519739,12.666263,0.62,2.48,8.1444746,
65,Fed,5,5,7.5,0.19,NA,NA,0.1903,1,7.5,4,7.5,0.1903,0.5420782,7.294981,0.58,2.48,NA,
71,Fed,5,6,7.5,0.17,NA,NA,0.1699,1,7.5,4,7.5,0.1699,NA,2.374638,0.62,2.48,NA,
77,Fed,5,7,7.5,0.234,NA,NA,0.2337,1,7.5,4,7.5,0.2337,NA,NA,NA,2.48,NA,
83,Fed,5,8,7.5,0.18,3.3972989,0.17331265,0.1795,1,7.5,4,7.5,0.1795,0.7375675,9.531322,0.56,2.48,8.0706355,
5,Fed,5,2,7,0.173,9.1156437,0.13264655,0.1732,1,7,4,7,0.1732,0.4655509,5.366747,0.57,2.48,4.7148079,
11,Fed,5,3,7,0.172,NA,NA,0.1717,1,7,4,7,0.1717,0.5056329,5.803513,0.56,2.48,NA,
17,Fed,5,4,7,0.076,5.1212817,0.13006058,0.0755,1,7,4,7,0.0755,0.3507564,2.181851,0.48,2.48,2.3651831,
23,Fed,5,5,7,0.165,4.3077514,0.14026596,0.1648,1,7,4,7,0.1648,0.2363196,2.62919,0.46,2.48,0.7142147,
29,Fed,5,6,7,0.179,4.4257612,0.12606047,0.1787,1,7,4,7,0.1787,0.5676099,6.712728,0.58,2.48,6.5591904,
35,Fed,5,7,7,0.153,4.6303073,0.11593023,0.1533,1,7,4,7,0.1533,0.2400952,2.524129,0.54,2.48,1.5834683,
41,Fed,5,8,7,0.108,4.7275668,0.11792167,0.1082,1,7,4,7,0.1082,0.4547598,3.681792,0.5,2.48,4.0568199,
90,Fed,6,2,8,0.215,3.4065954,0.10977506,0.2153,1,8,5,8,0.2153,NA,NA,NA,2.32,NA,
96,Fed,6,3,8,0.198,3.2518823,0.09017965,0.1975,1,8,5,8,NA,NA,NA,NA,2.32,NA,
102,Fed,6,4,8,0.13,2.5439421,0.10279544,0.13,1,8,5,8,0.13,0.2495098,2.44403,0.23,2.32,-0.1269824,
108,Fed,6,5,8,0.366,5.6107613,0.11370001,0.3663,1,8,5,8,0.3663,0.3205955,6.825424,0.56,2.32,2.5715121,
114,Fed,6,6,8,0.246,NA,NA,0.2456,1,8,5,8,0.2456,0.6327171,9.999363,0.73,2.32,8.4688221,
120,Fed,6,7,8,0.315,3.8256189,0.09685001,0.3151,1,8,5,8,0.3151,0.3548402,6.750363,0.63,2.32,3.9066029,
126,Fed,6,8,8,0.299,3.8260239,0.10989213,0.299,1,8,5,8,0.299,0.3373666,6.171871,0.42,2.32,1.7622907,
48,Fed,6,2,7.5,0.288,5.6486182,0.16088891,0.2884,1,7.5,5,7.5,0.2884,0.4704507,8.09087,0.6,2.32,4.3720798,
54,Fed,6,3,7.5,0.283,NA,NA,0.2826,1,7.5,5,7.5,0.2826,0.4248299,7.210936,0.5,2.32,NA,
60,Fed,6,4,7.5,0.173,3.8574827,0.09102183,0.1734,1,7.5,5,7.5,0.1734,0.4750464,5.574518,0.6,2.32,5.460776,
66,Fed,6,5,7.5,0.207,4.985767,0.10366683,0.2068,1,7.5,5,7.5,0.2068,0.428823,5.756952,0.57,2.32,4.2827584,
72,Fed,6,6,7.5,0.186,NA,NA,0.1862,1,7.5,5,7.5,0.1862,0.4361927,5.40443,0.55,2.32,NA,
78,Fed,6,7,7.5,0.291,2.826116,0.09556885,0.2906,1,7.5,5,7.5,0.2906,0.390636,6.770625,0.59,2.32,4.1153415,
84,Fed,6,8,7.5,0.412,3.9814095,0.12629958,0.4116,1,7.5,5,7.5,0.4116,0.4713283,10.603107,0.63,2.32,5.249216,
6,Fed,6,2,7,0.145,5.545725,0.12953551,0.1445,1,7,5,7,0.1445,0.3361104,3.19237,0.5,2.32,2.0763465,
12,Fed,6,3,7,0.174,7.4189485,0.11290308,0.1741,1,7,5,7,0.1741,NA,NA,NA,2.32,NA,
18,Fed,6,4,7,0.199,4.6338002,0.0686141,0.1994,1,7,5,7,0.1994,NA,NA,NA,2.32,NA,
24,Fed,6,5,7,0.171,NA,NA,0.1711,1,7,5,7,0.1711,0.4019604,4.320516,0.31,2.32,NA,
30,Fed,6,6,7,0.138,10.5843985,0.1472597,0.1375,1,7,5,7,0.1375,0.1309263,1.198234,0.33,2.32,-1.2889961,
36,Fed,6,7,7,0.15,4.1164475,0.07858703,0.1501,1,7,5,7,0.1501,0.3983669,3.881119,0.58,2.32,4.334889,
42,Fed,6,8,7,0.185,5.3207069,0.08707637,0.1852,1,7,5,7,0.1852,0.1396656,1.592479,0.45,2.32,0.155044,
