Date,,Site,Site Coordinates,shell_num,Vial / Tin #,length_in_cm,height_in_cm,width_in_cm,age,haline or white,Notes,Shell area,,length/age,area/age
8/16/22,,Barnstable Harbor,"41.716033, -70.276578",G50,65,5.85,4.64,2.74,1,H,,13.57,,5.9,13.57
11/4/21,,Barnstable Harbor,"41.716033, -70.276578",G26,22,6.15,4.81,2.73,1,H,,14.79,,6.2,14.79
7/13/22,,Barnstable Harbor,"41.716033, -70.276578",G6,31,7.47,5.89,3.50,2,W,H?,22.00,,3.7,11.00
8/16/22,,Barnstable Harbor,"41.716033, -70.276578",G54,69,7.69,6.01,3.60,2,H,,23.11,,3.8,11.55
2/23/23,,Barnstable Harbor,"41.717764, -70.274131",G64,79,8.11,6.31,3.96,1,W,,25.59,,8.1,25.59
11/4/21,,Barnstable Harbor,"41.716033, -70.276578",G27,23,9.88,7.61,4.59,2,W,,37.57,,4.9,18.78
8/16/22,,Barnstable Harbor,"41.716033, -70.276578",G53,68,10.65,8.33,4.64,2,H,,44.36,,5.3,22.18
10/27/22,,Barnstable Harbor,"41.716033, -70.276578",G41,56,11.29,8.98,4.78,5,W,,50.69,,2.3,10.14
4/21/23,,Barnstable Harbor,"41.716033, -70.276578",G104,117,11.72,8.78,4.52,3,W,,51.45,,3.9,17.15
8/11/21,,Barnstable Harbor,,M5 (G35),NA,12.26,9.53,,3,H,,58.42,,4.1,19.47
5/9/23,,Barnstable Harbor,"41.717764, -70.274131",G70,85,13.28,10.20,5.31,3,W,,67.73,,4.4,22.58
8/11/21,,Barnstable Harbor,,6,NA,13.50,10.29,NA,3,H,,69.46,,4.5,23.15
3/21/23,,Barnstable Harbor,"41.716033, -70.276578",G78,98,13.55,11.42,5.85,5,W,,77.37,,2.7,15.47
7/13/22,,Barnstable Harbor,"41.716033, -70.276578",G57,72,14.54,11.50,5.88,8,H,,83.61,,1.8,10.45
12/6/22,,Barnstable Harbor,,Am3,NA,14.70,11.62,NA,12,H,,85.41,,1.2,7.12
3/21/23,,Barnstable Harbor,"41.716033, -70.276578",G98,99,14.86,11.72,5.98,8,W,might be 9,87.08,,1.9,10.88
12/2/21,,Barnstable Harbor,,7,NA,15.00,11.51,NA,7,W,,86.33,,2.1,12.33
11/5/22,,Barnstable Harbor,,Am1,NA,15.10,11.46,NA,7,H,,86.52,,2.2,12.36
3/1/22,,Barnstable Harbor,"41.716033, -70.276578",G16,41,15.20,12.01,6.17,10,W,,91.24,,1.5,9.12
3/21/23,,Barnstable Harbor,"41.716033, -70.276578",G115,132,15.22,11.98,6.45,7,W,,91.17,,2.2,13.02
11/5/22,,Barnstable Harbor,,Am2,NA,15.30,11.81,NA,8,W,,90.35,,1.9,11.29
4/21/23,,Barnstable Harbor,"41.716033, -70.276578",G95,114,15.70,12.32,6.33,8,W,,96.71,,2.0,12.09
3/21/23,,Barnstable Harbor,"41.716033, -70.276578",G77,97,16.80,13.51,6.69,10,W,might be 11,113.48,,1.7,11.35
3/21/23,,Barnstable Harbor,"41.716033, -70.276578",G96,115,17.50,12.95,6.66,11,W,,113.31,,1.6,10.30
3/1/22,,Barnstable Harbor,,M1,NA,NA,,,NA,NA,,,,,
3/1/22,,Barnstable Harbor,,M2,NA,NA,,,NA,NA,,,,,
11/5/21,,"Cockle Cove, Chatham",,G29,25,4.40,3.60,2.12,1,W,maybe 2?,7.92,,4.4,7.92
12/7/22,,"Cockle Cove, Chatham",,G49,64,4.90,3.60,2.06,1,W,maybe 2?,8.82,,4.9,8.82
5/11/23,,"Cockle Cove, Chatham","41.671894, -70.015040",G82,101,5.99,4.18,2.48,1,W,maybe 2?,12.52,,6.0,12.52
5/12/23,,"Cockle Cove, Chatham","41.671894, -70.015040",G83,102,6.11,4.43,2.60,1,W,maybe 2?,13.53,,6.1,13.53
3/22/23,,"Cockle Cove, Chatham","41.671894, -70.015040",G107,124,6.95,4.93,2.87,2,W,,17.13,,3.5,8.57
11/8/22,,"Cockle Cove, Chatham",,G39,54,7.07,5.05,3.07,2,W,maybe 3,17.85,,3.5,8.93
1/18/23,,"Cockle Cove, Chatham","41.671894, -70.015040",G65,80,7.25,5.29,2.91,2,W,,19.18,,3.6,9.59
8/10/21,,"Cockle Cove, Chatham",,1,NA,7.25,5.69,NA,2,H,,20.63,,3.6,10.31
8/13/22,,"Cockle Cove, Chatham",,G51,66,7.69,5.30,NA,2,H,,20.38,,3.8,10.19
11/5/21,,"Cockle Cove, Chatham",,G28,24,7.97,6.12,3.64,4,H,maybe 5,24.39,,2.0,6.10
11/8/22,,"Cockle Cove, Chatham",,G40,55,8.11,5.79,3.32,3,W,,23.48,,2.7,7.83
6/14/22,,"Cockle Cove, Chatham",,10,NA,8.50,6.50,NA,3,H,,27.60,,2.8,9.20
4/20/23,,"Cockle Cove, Chatham","41.671894, -70.015040",G94,113,8.79,6.58,3.67,3,W,,28.92,,2.9,9.64
6/14/22,,"Cockle Cove, Chatham","41.670891, -70.016451",9,NA,9.00,6.35,NA,4,H,,28.54,,2.2,7.13
12/3/21,,"Cockle Cove, Chatham",,G31 (M6),NA,9.08,7.05,NA,4,W,,31.99,,2.3,8.00
2/22/23,,"Cockle Cove, Chatham","41.671894, -70.015040",G67,82,9.12,6.70,3.57,3,W,,30.55,,3.0,10.18
12/7/22,,"Cockle Cove, Chatham","41.671894, -70.015040",G47,62,9.20,6.89,3.82,4,H,5W?,31.69,,2.3,7.92
1/18/23,,"Cockle Cove, Chatham","41.671894, -70.015040",G61,76,9.67,7.10,3.94,5,W,might be 6,34.33,,1.9,6.87
6/14/22,,"Cockle Cove, Chatham","41.670891, -70.016451",8,NA,9.83,7.14,NA,6,W,might be H,35.09,,1.6,5.85
6/14/22,,"Cockle Cove, Chatham",,11,NA,9.96,6.98,NA,4,H,,34.76,,2.5,8.69
1/18/23,,"Cockle Cove, Chatham","41.671894, -70.015040",G63,78,10.45,7.81,4.15,4,W,maybe 5,40.81,,2.6,10.20
5/12/23,,East Dennis,"41.760097, -70.147566",G84 ,103,4.57,3.72,2.27,< 1,W,,8.50,,,
10/10/21,,East Dennis,,M3,NA,6.25,4.73,NA,1,H,,14.78,,6.3,14.78
7/13/22,,East Dennis,,16,NA,8.89,6.77,NA,2,H,,30.09,,4.4,15.05
11/7/22,,East Dennis,"41.760097, -70.147566",G45,60,10.45,7.67,4.05,3,W,,40.08,,3.5,13.36
4/20/23,,East Dennis,"41.760097, -70.147566",G105,118,10.95,8.55,4.90,3,W,,46.81,,3.7,15.60
1/22/23,,East Dennis,"41.760097, -70.147566",G66,81,11.03,8.60,4.76,3,W,,47.43,,3.7,15.81
2/16/23,,East Dennis,"41.760097, -70.147566",G23,48,11.16,8.56,4.56,4,W,,47.76,,2.8,11.94
5/12/23,,East Dennis,"41.760097, -70.147566",G88,107,11.54,9.17,4.81,4,W,,52.91,,2.9,13.23
3/22/23,,East Dennis,"41.760097, -70.147566",G102,121,11.72,9.07,5.18,4,W,,53.15,,2.9,13.29
1/22/23,,East Dennis,"41.760097, -70.147566",G87,106,12.26,9.41,4.95,5,W,,57.68,,2.5,11.54
2/16/23,,East Dennis,"41.760097, -70.147566",G22,47,12.35,9.16,4.84,5,W,,56.56,,2.5,11.31
3/22/23,,East Dennis,"41.760097, -70.147566",G101,120,12.75,9.92,5.15,6,W,,63.24,,2.1,10.54
9/7/21,,East Dennis,"41.760097, -70.147566",G25,21,12.79,9.69,5.36,5,H,,61.97,,2.6,12.39
3/22/23,,East Dennis,"41.760097, -70.147566",G97,116,12.82,9.95,5.29,5,W,,63.78,,2.6,12.76
1/22/23,,East Dennis,"41.760097, -70.147566",G86,105,13.00,9.70,5.34,5,W,,63.05,,2.6,12.61
11/7/22,,East Dennis,"41.760097, -70.147566",G48,63,13.20,10.40,5.69,5,W,,68.64,,2.6,13.73
1/22/23,,East Dennis,"41.760097, -70.147566",G85,104,13.34,10.91,5.88,11,W,Defective Growth,72.77,,1.2,6.62
12/3/22,,East Dennis,"41.760097, -70.147566",G52,67,13.54,10.40,5.45,4,W,most likely 5,70.41,,3.4,17.60
3/22/23,,East Dennis,"41.760097, -70.147566",G108,125,13.65,10.46,5.93,7,W,maybe 8 Defective Growth,71.39,,2.0,10.20
5/12/23,,East Dennis,"41.760097, -70.147566",G89,108,13.72,10.79,5.61,6,W,,74.02,,2.3,12.34
3/22/23,,East Dennis,"41.760097, -70.147566",G114,131,13.86,11.52,5.94,9,W,Defective Growth,79.83,,1.5,8.87
1/22/23,,East Dennis,"41.760097, -70.147566",G69,84,13.95,10.92,5.74,8,W,,76.17,,1.7,9.52
4/20/23,,East Dennis,"41.760097, -70.147566",G103,122,14.00,11.52,5.99,12,W,,80.64,,1.2,6.72
7/13/22,,East Dennis,,19,NA,14.06,10.77,NA,7,H,might be 8,75.71,,2.0,10.82
2/16/23,,East Dennis,"41.760097, -70.147566",G81,90,14.45,11.41,5.95,10,W,might be 11,82.44,,1.4,8.24
11/7/22,,East Dennis,,Am4,NA,14.90,11.17,NA,8,W,,83.22,,1.9,10.40
8/13/21,,Eel Pond E. Falmouth,"41.671894, -70.015049",2,NA,4.50,3.20,1.90,1,H,,7.20,,4.5,7.20
12/1/21,,Eel Pond E. Falmouth,"41.554913, -70.547627",13,NA,5.06,3.75,NA,1,W,,9.49,,5.1,9.49
9/12/22,,Eel Pond E. Falmouth,"41.554913, -70.547627",G120,137,5.20,3.82,2.35,1,H,,9.93,,5.2,9.93
4/19/23,,Eel Pond E. Falmouth,"41.554913, -70.547627",Am9,NA,5.34,3.91,2.50,2,W,,10.44,,2.7,5.22
11/6/22,,Eel Pond E. Falmouth,"41.554913, -70.547627",G113,130,5.59,4.11,2.47,2,W,,11.49,,2.8,5.74
10/6/21,,Eel Pond E. Falmouth,"41.554913, -70.547627",G9,34,6.05,4.51,2.66,1,H,maybe 2,13.64,,6.1,13.64
9/11/21,,Eel Pond E. Falmouth,"41.554913, -70.547627",G4,29,6.06,4.40,2.55,1,H,maybe 2,13.32,,6.1,13.32
3/23/23,,Eel Pond E. Falmouth,"41.554913, -70.547627",Am5,NA,6.09,4.76,2.75,1,W,,14.49,,6.1,14.49
9/11/21,,Eel Pond E. Falmouth,"41.554913, -70.547627",G3,28,6.18,4.56,2.71,1,H,,14.08,,6.2,14.08
11/6/22,,Eel Pond E. Falmouth,"41.554913, -70.547627",G112,129,6.45,4.96,2.92,2,H,,16.00,,3.2,8.00
5/18/22,,Eel Pond E. Falmouth,"41.554913, -70.547627",G13,38,6.48,4.65,2.69,2,H,,15.07,,3.2,7.53
3/23/23,,Eel Pond E. Falmouth,"41.554913, -70.547627",Am6,NA,6.63,4.91,2.79,2,W,,16.28,,3.3,8.14
5/9/23,,Eel Pond E. Falmouth,"41.554913, -70.547627",G109,126,7.02,5.15,2.85,2,H,,18.08,,3.5,9.04
9/11/21,,Eel Pond E. Falmouth,"41.554913, -70.547627",G2,27,7.08,5.25,3.08,2,H,,18.59,,3.5,9.29
9/12/22,,Eel Pond E. Falmouth,"41.554913, -70.547627",G119,136,7.16,5.31,3.12,2,H,maybe 3,19.01,,3.6,9.50
12/1/21,,Eel Pond E. Falmouth,"41.554913, -70.547627",14,NA,7.27,5.11,NA,3,W,,18.57,,2.4,6.19
9/12/22,,Eel Pond E. Falmouth,"41.554913, -70.547627",G118,135,7.31,5.60,3.29,2,H,maybe 3,20.47,,3.7,10.23
8/13/21,,Eel Pond E. Falmouth,"41.671894, -70.015050",5,NA,7.33,5.45,,2,H,maybe 3,19.97,,3.7,9.99
1/20/23,,Eel Pond E. Falmouth,"41.554913, -70.547627",G93,112,7.56,5.71,3.22,4,W,,21.58,,1.9,5.40
3/2/22,,Eel Pond E. Falmouth,"41.554913, -70.547627",G8,33,7.57,5.73,3.48,4,W,,21.67,,1.9,5.42
3/23/23,,Eel Pond E. Falmouth,"41.554913, -70.547627",Am11,NA,7.58,5.63,3.18,3,W,,21.34,,2.5,7.11
8/15/22,,Eel Pond E. Falmouth,"41.554913, -70.547627",G59,74,7.59,5.55,3.27,2,H,,21.06,,3.8,10.53
4/19/23,,Eel Pond E. Falmouth,"41.554913, -70.547627",Am10,NA,7.59,5.55,3.28,3,W,,21.06,,2.5,7.02
4/18/22,,Eel Pond E. Falmouth,"41.554913, -70.547627",G34 (M7),NA,7.62,5.26,NA,3,W,maybe 4,20.04,,2.5,6.68
5/18/22,,Eel Pond E. Falmouth,"41.554913, -70.547627",G12,37,7.69,5.70,2.95,2,H,,21.92,,3.8,10.96
8/3/22,,Eel Pond E. Falmouth,"41.554913, -70.547627",G5,30,7.77,5.54,2.97,2,H,,21.51,,3.9,10.75
12/5/22,,Eel Pond E. Falmouth,"41.554913, -70.547627",G100,119,7.81,5.89,3.56,4,H,,23.00,,2.0,5.75
7/15/22,,Eel Pond E. Falmouth,"41.554913, -70.547627",17,NA,7.96,5.97,NA,4,H,,23.73,,2.0,5.93
5/8/23,,Eel Pond E. Falmouth,"41.554913, -70.547627",G90,109,7.99,5.97,3.28,3,H,Maybe 4,23.85,,2.7,7.95
5/20/22,,Eel Pond E. Falmouth,"41.554913, -70.547627",G14,39,8.24,5.84,3.16,4,W,,24.06,,2.1,6.02
3/23/23,,Eel Pond E. Falmouth,"41.554913, -70.547627",Am8,NA,8.24,5.89,3.20,4,W,Maybe 5,24.27,,2.1,6.07
1/20/23,,Eel Pond E. Falmouth,"41.554913, -70.547627",G110,127,8.25,5.90,3.29,4,W,,24.34,,2.1,6.08
11/8/21,,Eel Pond E. Falmouth,"41.554913, -70.547627",G10,35,8.28,6.16,3.45,3,W,,25.50,,2.8,8.50
2/24/23,,Eel Pond E. Falmouth,"41.554913, -70.547627",G92,111,8.28,6.24,3.50,3,W,Maybe 4,25.83,,2.8,8.61
12/5/22,,Eel Pond E. Falmouth,"41.554913, -70.547627",G117,134,8.29,6.15,3.45,4,W,Maybe 5,25.49,,2.1,6.37
4/18/22,,Eel Pond E. Falmouth,"41.554913, -70.547627",G33 (M8),NA,8.30,5.95,NA,3,W,,24.67,,2.8,8.22
6/16/22,,Eel Pond E. Falmouth,"41.554913, -70.547627",G24,49,8.31,6.23,3.58,3,H,,25.89,,2.8,8.63
2/24/23,,Eel Pond E. Falmouth,"41.554913, -70.547627",G91,110,8.35,6.21,3.53,4,W,,25.93,,2.1,6.48
3/23/23,,Eel Pond E. Falmouth,"41.554913, -70.547627",Am7,NA,8.36,6.14,3.67,3,W,Maybe 4,25.67,,2.8,8.56
8/15/22,,Eel Pond E. Falmouth,"41.554913, -70.547627",G60,75,8.45,6.06,3.82,4,H,Maybe 5,25.60,,2.1,6.40
7/15/22,,Eel Pond E. Falmouth,"41.554913, -70.547627",18,NA,8.45,6.40,NA,3,H,,27.04,,2.8,9.01
1/20/23,,Eel Pond E. Falmouth,"41.554913, -70.547627",G116,133,8.46,6.47,3.37,3,W,,27.37,,2.8,9.12
5/20/22,,Eel Pond E. Falmouth,"41.554913, -70.547627",G15,40,8.57,6.42,3.50,5,W,,27.51,,1.7,5.50
8/13/21,,Eel Pond E. Falmouth,"41.671894, -70.015051",G30 (3),NA,8.77,6.46,,3,H,,28.31,,2.9,9.44
8/15/22,,Eel Pond E. Falmouth,"41.554913, -70.547627",G58,73,8.78,6.50,3.86,3,H,,28.54,,2.9,9.51
11/6/22,,Eel Pond E. Falmouth,"41.554913, -70.547627",G111,128,9.14,6.79,3.67,3,H,,31.03,,3.0,10.34
3/2/22,,Eel Pond E. Falmouth,"41.554913, -70.547627",G11,36,9.26,6.82,3.95,7,W,,31.56,,1.3,4.51
9/11/21,,Eel Pond E. Falmouth,"41.671894, -70.015052",G1,26,9.31,6.31,3.68,3,H,,29.33,,3.1,9.78
5/18/22,,Eel Pond E. Falmouth,"41.554913, -70.547627",NA,91,NA,NA,NA,,,"tin goes with 41, capsule is unique, super small not aged, only for genetics",,,,
5/18/22,,Eel Pond E. Falmouth,"41.554913, -70.547627",NA,92,NA,NA,NA,,,"super small not aged, only for genetics",,,,
7/15/23,,Provincetown Bay,"42.057098, -70.151331",A3,,6.78,4.99,3.14,1,H,,16.92,,6.8,16.92
7/15/23,,Provincetown Bay,"42.057098, -70.151331",A2,,6.86,5.31,3.15,1,H,,18.21,,6.9,18.21
7/15/23,,Provincetown Bay,"42.057098, -70.151331",A1,,7.60,5.47,NA,1,H,,20.79,,7.6,20.79
5/10/23,,Provincetown Bay,"42.057098, -70.151331",G72,87,5.30,4.27,2.48,1,W,,11.32,,5.3,11.32
3/20/23,,Provincetown Bay,"42.057098, -70.151331",G73,93,5.57,4.43,2.95,1,W,,12.34,,5.6,12.34
12/4/22,,Provincetown Bay,"42.057098, -70.151331",G46,61,7.67,5.94,3.43,2,W,might be 3,22.78,,3.8,11.39
10/26/22,,Provincetown Bay,"42.057098, -70.151331",G37,52,7.96,6.04,3.69,3,W,,24.04,,2.7,8.01
3/20/23,,Provincetown Bay,"42.057098, -70.151331",G74,94,8.42,6.69,3.71,3,W,might be 4,28.16,,2.8,9.39
7/14/22,,Provincetown Bay,"42.057098, -70.151331",G7,32,9.17,7.17,4.18,3,H,,32.86,,3.1,10.95
11/4/22,,Provincetown Bay,"42.057098, -70.151331",G44,59,9.49,7.39,4.11,4,W,,35.07,,2.4,8.77
7/14/22,,Provincetown Bay,"42.057098, -70.151331",15,NA,9.56,7.53,NA,3,H,might be 4,35.99,,3.2,12.00
6/15/22,,Provincetown Bay,"42.057098, -70.151331",G17,42,9.67,7.28,4.11,3,H,,35.18,,3.2,11.73
2/21/23,,Provincetown Bay,"42.057098, -70.151331",G79,88,9.67,7.71,4.18,3,W,,37.28,,3.2,12.43
10/26/22,,Provincetown Bay,"42.057098, -70.151331",G36,51,9.80,7.48,4.07,4,W,,36.65,,2.5,9.16
10/26/22,,Provincetown Bay,"42.057098, -70.151331",G32,50,10.17,7.75,4.59,3,W,,39.41,,3.4,13.14
4/17/23,,Provincetown Bay,"42.057098, -70.151331",G106,123,10.37,7.70,4.04,3,W,,39.92,,3.5,13.31
11/4/22,,Provincetown Bay,"42.057098, -70.151331",G43,58,10.55,8.10,4.50,4,W,,42.73,,2.6,10.68
2/21/23,,Provincetown Bay,"42.057098, -70.151331",G68,83,10.90,8.72,4.95,4,W,,47.52,,2.7,11.88
6/15/22,,Provincetown Bay,"42.057098, -70.151331",G21,46,11.12,8.70,4.88,3,H,,48.37,,3.7,16.12
11/4/22,,Provincetown Bay,"42.057098, -70.151331",G42,57,11.14,8.36,4.56,5,W,,46.57,,2.2,9.31
6/15/22,,Provincetown Bay,"42.057098, -70.151331",G18,43,11.22,8.45,4.85,3,H,,47.40,,3.7,15.80
1/21/23,,Provincetown Bay,"42.057098, -70.151331",G80,89,11.22,8.65,4.85,4,W,,48.53,,2.8,12.13
10/26/22,,Provincetown Bay,"42.057098, -70.151331",G38,53,11.44,8.77,4.91,4,W,,50.16,,2.9,12.54
6/15/22,,Provincetown Bay,"42.057098, -70.151331",G19,44,11.52,8.71,5.05,4,H,,50.17,,2.9,12.54
3/20/23,,Provincetown Bay,"42.057098, -70.151331",G99,100,11.85,9.46,5.12,5,W,,56.05,,2.4,11.21
3/20/23,,Provincetown Bay,"42.057098, -70.151331",G75,95,12.01,9.38,5.09,4,W,,56.33,,3.0,14.08
6/15/22,,Provincetown Bay,"42.057098, -70.151331",G20,45,12.04,9.33,5.10,4,H,,56.14,,3.0,14.04
1/21/23,,Provincetown Bay,"42.057098, -70.151331",G62,77,12.75,10.33,5.65,8,H,,65.85,,1.6,8.23
5/10/23,,Provincetown Bay,"42.057098, -70.151331",G71,86,12.96,10.49,5.72,7,W,,67.98,,1.9,9.71
8/14/22,,Provincetown Bay,"42.057098, -70.151331",G56,71,13.37,10.09,6.03,7,H,,67.45,,1.9,9.64
8/14/22,,Provincetown Bay,"42.057098, -70.151331",G55,70,13.45,10.47,5.87,7,H,might be 8,70.41,,1.9,10.06
3/20/23,,Provincetown Bay,"42.057098, -70.151331",G76,96,13.46,9.93,5.38,5,W,might be 6,66.83,,2.7,13.37