Start_date,Site,Treatment,Buried_Dec,Location_code,color 1,color 2,Start_len_mm,Start_thickness_mm,Collection.month,Collection1_date,Elapsed_days,depth_cm,color_collection,Dissection ID label,Label different when collected,Biodeposition label,Start_height_mm,L_mm,H_mm,T_mm,Collection notes,Dead length,Dead_lengths_mm,Len,Height,Thickness,Est. growth by height,Est start height from linear function,Start_height from marking,Growth increment from mark on shell (height),Tin only,Tin + gonad + somatic tissue,Reweigh (if necessary),Ash weight (tin + gonad + somatic tissue),DW,AFDW,Ratio for samples with DW>0.01g,Corrected AFDW using an average of 82%. Used for <20 samples with % organic <.7 which was identified to caused by incomplete (anoxic) muffle furnace issues.,Notes,% gonad,% digestive,Shell weight,Start height function params
9/27/2022,Ptown,N,N,A2,R,,13.83,5.92,December,12/4/2022,68,4+,R,P125,,,10.86,24.10,19.30,11.20,,,,23.9,19.2,11.20,8.44,10.5,11,10.9,1.095,1.247,,1.177,0.152,0.0700,46%,0.1246,,,,,0.8391070866
9/27/2022,Ptown,N,N,A2,Y,,12.84,5.31,December,12/4/2022,68,4+,NO LABEL,P126,no label,,9.74,21.60,17.10,10.00,,,,21.5,17.1,10.00,7.36,9.6,9.7,9.3,1.104,1.219,,1.152,0.115,0.0670,58%,0.0943,Most likely Y (2nd of color series) given start height,,,,1.388938074
9/27/2022,Ptown,N,N,A2,B,,11.78,5.25,December,12/4/2022,68,,,,,,9.45,,,,,,,,,,,9.3,,,,,,,,,,,,,,,
9/27/2022,Ptown,N,N,A2,L,,11.25,4.55,December,12/4/2022,68,,,,,,8.13,,,,,,,,,,,8.2,,,,,,,,,,,,,,,
9/27/2022,Ptown,N,N,A2,R,Y,10.27,4.61,December,12/4/2022,68,,,,,,8.11,,,,,,,,,,,8.2,,,,,,,,,,,,,,,
9/27/2022,Ptown,N,N,A2,R,B,9.95,4.13,December,12/4/2022,68,,,,,,7.61,,,,,,,,,,,7.8,,,,,,,,,,,,,,,
9/27/2022,Ptown,N,N,A2,R,L,10.11,4.46,December,12/4/2022,68,,,,,,7.9,,,,,,,,,,,8.0,,,,,,,,,,,,,,,
9/27/2022,Ptown,N,N,A2,Y,B,9.67,4.16,December,12/4/2022,68,,,,,,7.51,,,,,,,,,,,7.7,,,,,,,,,,,,,,,
9/27/2022,Ptown,N,N,A2,B,L,8.94,3.91,December,12/4/2022,68,,,,,,7.11,,,,,,,,,,,7.4,,,,,,,,,,,,,,,
9/27/2022,Ptown,N,,A3,R,,13.44,5.68,April,4/17/2023,202,S,,P51,,3,10.63,,,,,,,37.5,29.6,,,10.3,10.85,23.5,1.0825,1.8095,,1.1933,0.727,0.6162,85%,0.6162,,,,,
9/27/2022,Ptown,N,,A3,Y,,12.54,5.01,April,4/17/2023,202,Deep,,P.1,,,9.29,,,,,,,41.03,31.74,18.5,,9.2,9.77,27.2,0.9892,1.9618,,1.1501,0.9726,0.8117,83%,0.8117,,,,,
9/27/2022,Ptown,N,,A3,B,,11.81,5.02,April,4/17/2023,202,Deep,,P.2,,,9.32,,,,,,,37.8,29.4,16.23,,9.2,9.3,24.3,1.0012,1.7844,,1.1089,0.7832,0.6755,86%,0.6755,,,,,
9/27/2022,Ptown,N,,A3,L,,11.11,4.62,April,4/17/2023,202,S,,P52,,4,8.64,,,,,,,37,28,,,8.6,8.49,23.95,1.0873,1.8362,,1.2026,0.7489,0.6336,85%,0.6336,,,,,
9/27/2022,Ptown,N,,A3,R,Y,10.46,4.44,April,4/17/2023,202,S,,P.28,NL,,8.12,,,,,,,34.3,26.4,15.9,,8.2,8.26,22.18,1.0672,1.6413,,1.1493,0.5741,0.4920,86%,0.4920,,,,,
9/27/2022,Ptown,N,,A3,R,B,9.9,3.93,April,4/17/2023,202,,,,A - RY,Used as blank,7.37,,,,,,,34.2,26.9,,,7.6,8.04,22.7,0.9998,2.615,,1.1729,,,,,DW is 3X the others collected this month. There must be a mix up. This dissection data must be included in the wrong row. ,,,,
9/27/2022,Ptown,N,,A3,R,L,9.92,4.13,April,4/17/2023,202,Deep,,P.3,NL,,7.56,,,,,,,32,25.4,15,,7.7,7.8,21.7,1.0114,1.5375,,1.0831,0.5261,0.4544,86%,0.4544,,,,,
9/27/2022,Ptown,N,,A3,Y,B,9.81,4.33,April,4/17/2023,202,Deep,,P.4,,,7.56,,,,,,,35.99,27.4,15.7,,7.7,7.51,23.6,0.9906,1.6323,,1.0791,0.6417,0.5532,86%,0.5532,,,,,
9/27/2022,Ptown,N,,A3,B,L,8.87,3.57,April,4/17/2023,202,,,,,,6.71,,,,,,,,,,,7.0,,,,,,,,,,,,,,,
9/27/2022,Ptown,N,,A4,R,,14.36,5.86,June,6/11/2023,257,,,,Y,GTT-5,10.95,45.76,36.06,21.26,,,,45.76,36.06,21.26,,10.6,10.09,32.21,1.075,2.4026,,1.3064,1.3275,1.0962,83%,1.0962,,,,10.7142,
9/27/2022,Ptown,N,,A4,Y,,11.99,5.16,June,6/11/2023,257,,,,Y,,9.6,23.33,18.40,9.24,,,23.33,23.33,18.40,9.24,,9.4,11.16,8.68,,,,,,,,,,,,,
9/27/2022,Ptown,N,,A4,B,,11.44,5.2,June,6/11/2023,257,,,,NL,2,9.17,46.47,38.50,21.98,,,,46.47,38.50,21.98,,9.1,9.12,34.48,1.074,2.5355,,1.2698,1.4614,1.2657,87%,1.2657,,,,11.5115,
9/27/2022,Ptown,N,,A4,L,,11.94,4.91,June,6/11/2023,257,Deep?,,P3,NL,,9.45,48.88,38.13,23.00,,,,48.88,38.13,23.00,,9.3,9.59,34.36,1.068,2.7159,,1.3308,1.6480,1.3851,84%,1.3851,,,,11.7304,
9/27/2022,Ptown,N,,A4,R,Y,10.58,4.65,June,6/11/2023,257,Shallow?,,P1,RY,,8.3,43.89,35.72,22.65,,,,43.89,35.72,22.65,,8.4,8.29,32.34,1.055,2.3096,,1.2707,1.2548,1.0389,83%,1.0389,,,,10.9723,
9/27/2022,Ptown,N,,A4,R,B,9.84,3.97,June,6/11/2023,257,,,,BR,GTT-3,7.19,46.15,37.31,21.03,,,,46.15,37.31,21.03,,7.4,8.46,34.62,1.070,2.4576,,1.2965,1.3874,1.1611,84%,1.1611,,,,10.9314,
9/27/2022,Ptown,N,,A4,R,L,10.04,4.12,June,6/11/2023,257,Deep?,,P2,NL,,7.45,41.88,32.81,20.13,,,,41.88,32.81,20.13,,7.6,8.07,29.77,1.085,2.02823,,1.2622,0.9428,0.7660,81%,0.7660,,,,8.4768,
9/27/2022,Ptown,N,,A4,Y,B,9.93,4.2,June,6/11/2023,257,,,,,,7.74,,,,,,,,,,,7.9,,,,,,,,,,,,,,,
9/27/2022,Ptown,N,,A4,B,L,8.95,3.75,June,6/11/2023,257,Deep?,,P4,NL,,6.98,47.13,37.53,21.20,,,,47.13,37.53,21.20,,7.2,6.35,35.86,1.066,2.5462,,1.3048,1.4799,1.2414,84%,1.2414,,,,11.0922,
9/27/2022,Ptown,S,,B1,R,,14.1,6.36,June,6/11/2023,257,,,,R,GTT-4,10.74,50.71,38.58,23.22,,,,50.71,38.58,23.22,,10.4,11.11,34.48,1.074,2.8048,,1.315,1.7307,1.4898,86%,1.4898,,,,11.6724,
9/27/2022,Ptown,S,,B1,Y,,11.84,5.08,June,6/11/2023,257,,,,Y,,9.26,17.26,13.60,6.57,,,,17.26,13.60,6.57,,9.2,9.25,5.49,,,,,,,,,,,,,
9/27/2022,Ptown,S,,B1,B,,11.53,4.89,June,6/11/2023,257,,,,nl,,8.87,16.25,12.84,7.17,,,,16.25,12.84,7.17,,8.8,8.79,5.16,,,,,,,,,,,,,
9/27/2022,Ptown,S,,B1,L,,10.31,4.19,June,6/11/2023,257,,,,nl,,7.7,13.98,10.72,6.01,,,,13.98,10.72,6.01,,7.9,8.86,2.08,,,,,,,,,,,,,
9/27/2022,Ptown,S,,B1,R,Y,9.59,4.06,June,6/11/2023,257,,,,R,,7.78,15.65,12.47,6.33,Has red marking but moved to RX row because of the start height mismatch. ,,,15.65,12.47,6.33,,7.9,8.26,5.73,,,,,,,,,,,,,
9/27/2022,Ptown,S,,B1,R,B,10.3,4.62,June,6/11/2023,257,Deep,,P5,XX,,7.67,52.13,38.93,23.38,,,,52.13,38.93,23.38,,7.8,7.46,36.3,1.092,3.0005,,1.4112,1.9085,1.5893,83%,1.5893,,,,12.4472,
9/27/2022,Ptown,S,,B1,R,L,10.68,4.53,June,6/11/2023,257,,,,RX,19,8.36,44.03,34.92,21.89,,,,44.03,34.92,21.89,,8.4,8.58,32.5,1.087,2.2965,,,1.2095,0.9797,81%,0.9797,No Ash weight. Estimated AFDW from average 81% organic,,,10.2775,
9/27/2022,Ptown,S,,B1,Y,B,9.27,3.88,June,6/11/2023,257,,,,BY,GTT-2,6.96,43.68,34.07,19.93,,,,43.68,34.07,19.93,,7.2,7.15,32.29,1.061,2.1709,,1.453,1.1101,0.7179,65%,0.9103,,,,8.9876,
9/27/2022,Ptown,S,,B1,B,L,9.94,4.21,June,6/11/2023,257,,,,,,7.35,,,,,,,,,,,7.6,,,,,,,,,,,,,,,
9/27/2022,Ptown,S,,B2,R,,14.24,6.32,April,4/17/2023,202,Deep,,PBR,,,10.87,,,,,,,39.9,30.37,17.22,,10.5,11.14,24.04,1.0023,1.9094,,1.1318,0.9071,0.7776,86%,0.7776,,,,,
9/27/2022,Ptown,S,,B2,Y,,12.83,5.58,April,4/17/2023,202,Deep,,P.B.Y,,5,9.87,,,,,,,37.5,29.26,16.29,,9.7,9.89,23.58,1.0131,1.7784,,1.1278,0.7653,0.6506,85%,0.6506,,,,,
9/27/2022,Ptown,S,,B2,B,,12.1,5.31,April,4/17/2023,202,S,,P53,NL,,9.65,,,,,,,38.1,30.3,,,9.5,9.72,25.3,1.0732,1.9112,,1.2082,0.838,0.7030,84%,0.7030,,,,,
9/27/2022,Ptown,S,,B2,L,,11.15,4.71,April,4/17/2023,202,,,,,,8.92,,,,,,,,,,,8.9,,,,,,,,,,,,,,,
9/27/2022,Ptown,S,,B2,R,Y,10.08,4.19,April,4/17/2023,202,Deep,,PB.RY,,,8.16,,,,,,,35.44,28.44,15.67,,8.2,8.37,24.36,1.0002,1.6905,,1.1108,0.6903,0.5797,84%,0.5797,,,,,
9/27/2022,Ptown,S,,B2,R,B,10.07,4.63,April,4/17/2023,202,S,,P54,NL,6,8.3,,,,,,,34.4,28.3,,,8.4,8.44,23.7,1.0898,1.7067,,1.1781,0.6169,0.5286,86%,0.5286,,,,,
9/27/2022,Ptown,S,,B2,R,L,10.24,4.47,April,4/17/2023,202,S,,P.67,,,7.83,,,,,,,36.8,28.3,16.6,,8.0,,25.2,1.047,1.7585,,1.1498,0.7115,0.6087,86%,0.6087,,,,,
9/27/2022,Ptown,S,,B2,Y,B,9.69,4.03,April,4/17/2023,202,Deep,,P.B.YB,,,7.44,,,,,,,39.14,30.4,17.22,,7.6,7.57,30.41,1.0064,1.8856,,1.1426,0.8792,0.7430,85%,0.7430,,,,,
9/27/2022,Ptown,S,,B2,B,L,9.69,4.41,April,4/17/2023,202,Deep,,P.B.BL,,,7.72,,,,,,,36.15,29.04,17.07,,7.9,7.87,25.25,1.0004,1.7039,,1.1117,0.7035,0.5922,84%,0.5922,,,,,
9/27/2022,Ptown,S,N,B3,R,,13.98,6.01,December,12/4/2022,68,4+,R,P127,,,10.89,26.20,19.90,11.40,,,,26.1,19.9,11.40,9.01,10.5,11,10.3,1.094,1.263,,1.163,0.169,0.1000,59%,0.1386,,,,,
9/27/2022,Ptown,S,N,B3,Y,,11.54,5.21,December,12/4/2022,68,0-4,Y,,,,9.34,,,,,18.3,18.3,18.3,14.9,,,9.2,9.3,7,,,,,,,,,,,,,
9/27/2022,Ptown,S,N,B3,B,,11.51,5,December,12/4/2022,68,,,,,,9.05,,,,,,,,,,,9.0,,,,,,,,,,,,,,,
9/27/2022,Ptown,S,N,B3,L,,11.3,4.76,December,12/4/2022,68,,,,,,8.65,,,,,,,,,,,8.6,,,,,,,,,,,,,,,
9/27/2022,Ptown,S,N,B3,R,Y,10.72,4.33,December,12/4/2022,68,,,,nl,,8.25,15.30,12.30,,,,15.3,,,,,8.3,8.3,4.9,,,,,,,,,sifted shell in July,,,,
9/27/2022,Ptown,S,N,B3,R,B,9.28,4.27,December,12/4/2022,68,,,,,,7.42,,,,,,,,,,,7.6,,,,,,,,,,,,,,,
9/27/2022,Ptown,S,N,B3,R,L,10.24,4.36,December,12/4/2022,68,0-4,NO LABEL,P130,No label,,7.85,21.40,16.70,9.50,,,,21.3,16.8,9.50,8.85,8.0,7.9,11.3,1.101,1.193,,1.119,0.092,0.0740,80%,0.0740,,,,,
9/27/2022,Ptown,S,N,B3,Y,B,9.88,4,December,12/4/2022,68,,,P131,RB?,,7.43,,,,,16.1,,16.1,13.2,,,7.6,7.3,6.8,,,,,,,,,"No initial dead length, but is dead. Added dead length -ER 10/17/23",,,,
9/27/2022,Ptown,S,N,B3,B,L,8.76,3.67,December,12/4/2022,68,0-4,BL,P129,,,6.98,20.90,16.80,8.60,,,,21.1,16.7,8.60,9.82,7.2,6.9,11.2,1.107,1.191,,1.124,0.084,0.0670,80%,0.0670,,,,,
9/27/2022,Ptown,N,,C1,R,,14.83,6.51,June,6/11/2023,257,S,C3 - R,P32,C3 - R,,11.37,46.13,39.44,23.12,"length not measured. It is estimated from sum of measured start height and growth increment; Cage C1 clams not in C1, but in C2-4. It's possible that a beachgoer was interested in them, pulled them out, and then put them back in the same row, but not in the same cage between April and June. Only 1 clam is alive from the C-row. ",,,46.13,39.44,23.12,,10.9,10.48,35.65,1.070,2.9012,,1.2531,1.8312,1.6481,90%,1.6481,,,,12.6855,
9/27/2022,Ptown,N,,C1,Y,,12.45,5.53,June,6/11/2023,257,,C2/3-Y,,C2/3-Y,,10.03,22.91,17.38,9.15,"Cage C1 clams not in C1, but in C2-4. It's possible that a beachgoer was interested in them, pulled them out, and then put them back in the same row, but not in the same cage between April and June. Most of these clams are dead. ",,,22.91,17.38,9.15,,9.8,9.42,9.72,,,,,,,,,,,,,
9/27/2022,Ptown,N,,C1,B,,11.69,5.35,June,6/11/2023,257,,C4 - nl,,C4 - nl,,9.43,37.95,30.09,18.38,"Cage C1 clams not in C1, but in C2-4. It's possible that a beachgoer was interested in them, pulled them out, and then put them back in the same row, but not in the same cage between April and June. Most of these clams are dead. ",,,37.95,30.09,18.38,,9.3,10.64,22.47,,,,,,,,,,,,,
9/27/2022,Ptown,N,,C1,L,,10.63,4.49,June,6/11/2023,257,,C2/3-NL,,C2/3-NL,,8.29,21.14,16.11,9.33,"Cage C1 clams not in C1, but in C2-4. It's possible that a beachgoer was interested in them, pulled them out, and then put them back in the same row, but not in the same cage between April and June. Most of these clams are dead. ",,,21.14,16.11,9.33,,8.3,7.79,10.8,,,,,,,,,,,,,
9/27/2022,Ptown,N,,C1,R,Y,11.09,4.68,June,6/11/2023,257,,C2/3-NL,,C2/3-NL,,8.65,23.36,18.07,,"Cage C1 clams not in C1, but in C2-4. It's possible that a beachgoer was interested in them, pulled them out, and then put them back in the same row, but not in the same cage between April and June. Most of these clams are dead. ",,,23.36,18.07,,,8.6,8.98,10.79,,,,,,,,,,,,,
9/27/2022,Ptown,N,,C1,R,B,11.56,5.01,June,6/11/2023,257,,C4-NL,,C4-NL,18,9.07,49.39,39.59,25.21,"Cage C1 clams not in C1, but in C2-4. It's possible that a beachgoer was interested in them, pulled them out, and then put them back in the same row, but not in the same cage between April and June. Most of these clams are dead. ",,,49.39,39.59,25.21,,9.0,10.55,34.55,1.060,3.1058,,,2.0461,1.6573,81%,1.6573,No Ash weight. Estimated AFDW from average 81% organic,,,13.2505,
9/27/2022,Ptown,N,,C1,R,L,10.11,4.18,June,6/11/2023,257,,C2/3-R,,C2/3-R,,7.89,13.41,10.77,5.86,"Cage C1 clams not in C1, but in C2-4. It's possible that a beachgoer was interested in them, pulled them out, and then put them back in the same row, but not in the same cage between April and June. Most of these clams are dead. ",,,13.41,10.77,5.86,,8.0,7.83,3.34,,,,,,,,,,,,,
9/27/2022,Ptown,N,,C1,Y,B,8.96,3.86,June,6/11/2023,257,,C2/3-BY,,C2/3-BY,,6.68,15.72,12.86,8.17,"Cage C1 clams not in C1, but in C2-4. It's possible that a beachgoer was interested in them, pulled them out, and then put them back in the same row, but not in the same cage between April and June. Most of these clams are dead. ",,,15.72,12.86,8.17,,7.0,8.19,6.89,,,,,,,,,,,,,
9/27/2022,Ptown,N,,C1,B,L,9.17,3.94,June,6/11/2023,257,,C2/3-NL,,C2/3-NL,,7.03,12.66,9.51,,"Cage C1 clams not in C1, but in C2-4. It's possible that a beachgoer was interested in them, pulled them out, and then put them back in the same row, but not in the same cage between April and June. Most of these clams are dead. ",,,12.66,9.51,,,7.3,6.54,3.76,,,,,,,,,,,,,
9/27/2022,Ptown,N,,C2,R,,13.39,5.8,April,4/17/2023,202,S,,P.C.R,,,10.71,,,,This had a red marking but the start length seems too high. ,,Y,20.8,16.9,9.5,,10.4,11.2,7,,,,,,,,,,,,,
9/27/2022,Ptown,N,,C2,Y,,11.96,5.28,April,4/17/2023,202,S,,P-5,,,9.4,,,,,,,38.1,29.4,17.5,,9.3,9.5,24.8,0.9989,1.7904,,1.1159,0.7915,0.6745,85%,0.6745,,,,,
9/27/2022,Ptown,N,,C2,B,,11.46,4.88,April,4/17/2023,202,D,,P-C-NL,C2 - NL,,9.09,,,,"This start length matches with the initial size for R, but it has no label",,Y,28.97,22.96,,,9.0,10.71,15.59,,,,,,,,,,,,,
9/27/2022,Ptown,N,,C2,L,,11.61,4.87,April,4/17/2023,202,S,,P56,,8,9.26,,,,,,,36.2,28.4,,,9.2,9.31,23.5,1.0639,1.7224,,1.1661,0.6585,0.5563,84%,0.5563,,,,,
9/27/2022,Ptown,N,,C2,R,Y,10.86,4.51,April,4/17/2023,202,S,,P6,,,8.33,,,,,,,38.9,30.4,17.7,,8.4,8.25,26.8,1.0115,1.829,,1.1335,0.8175,0.6955,85%,0.6955,,,,,
9/27/2022,Ptown,N,,C2,R,B,9.94,4.35,April,4/17/2023,202,S,,P.68,,,7.84,,,,,,,32.98,25.81,15.7,,8.0,7.95,21.83,1.006,1.5892,,1.0892,0.5832,0.5000,86%,0.5000,,,,,
9/27/2022,Ptown,N,,C2,R,L,10.27,4.55,April,4/17/2023,202,S,,p55,C3 - R? Must be C2-RX,7,7.87,,,,,,,33.2,26.2,,,8.0,7.9,22.1,1.0521,1.5632,,1.1344,0.5111,0.4288,84%,0.4288,,,,,
9/27/2022,Ptown,N,,C2,Y,B,9.54,4.12,April,4/17/2023,202,S,,P.7,,,7.16,,,,,,,34.7,26.7,16,,7.4,7.18,23.6,1.025,1.6357,,1.1255,0.6107,0.5102,84%,0.5102,,,,,
9/27/2022,Ptown,N,,C2,B,L,8.86,3.59,April,4/17/2023,202,,,,,,6.62,,,,,,,,,,,6.9,,,,,,,,,,,,,,,
9/27/2022,Ptown,N,N,C3,R,,12.94,5.54,December,12/4/2022,68,0-4,R,G101,,,10.08,,,,,24.6,24.6,24.4,18.5,,,9.8,11,9.6,,,,,,,,,,,,,
9/27/2022,Ptown,N,N,C3,Y,,11.89,5.1,December,12/4/2022,68,0-4,Y,G110,,,9.39,,,,,22.1,22.1,21.8,17.5,,,9.3,9.4,9.5,,,,,,,,,G110 and G102 swapped. Moved in correct location  -ER 10.17.23,,,,
9/27/2022,Ptown,N,N,C3,B,,11.93,5.22,December,12/4/2022,68,4+,B,G103,,,9.64,21.90,18.00,10.10,,,,21.3,17.7,,8.36,9.5,9.3,10.3,1.088,1.205,,1.1076,0,0.0974,83%,0.0974,,,,,
9/27/2022,Ptown,N,N,C3,L,,11.02,4.74,December,12/4/2022,68,0-4,NO LABEL,G109,,,8.93,22.50,17.50,9.60,,,,22.4,17.2,,,8.9,8.4,11,1.094,1.203,,1.112,0,0.0910,83%,0.0910,,,,,
9/27/2022,Ptown,N,N,C3,R,Y,10.45,4.47,December,12/4/2022,68,4+,YR,G102,,,8.32,22.50,17.70,19.60,,,22.1,22.5,17.5,,9.38,8.4,9.5,10.6,1.099,1.218,,1.1197,0,0.0983,83%,0.0983,,,,,
9/27/2022,Ptown,N,N,C3,R,B,10.32,4.26,December,12/4/2022,68,4+,RB,G104,,,7.91,23.20,18.40,10.50,,,,23,18.3,,10.49,8.0,9,11.6,1.099,1.22,,1.117,0,0.1030,85%,0.1030,,,,,
9/27/2022,Ptown,N,N,C3,R,L,10.12,4.29,December,12/4/2022,68,0-4,RL,G107,,,7.29,21.40,16.70,8.80,,,,21.2,16.7,,9.41,7.5,7.3,10,1.088,1.188,,1.1062,0,0.0818,82%,0.0818,,,,,
9/27/2022,Ptown,N,N,C3,Y,B,9.75,4.52,December,12/4/2022,68,0-4,BY,G105,,,7.89,20.40,15.70,8.70,,,,20.4,15.5,,7.81,8.0,6.7,11.2,1.1,1.179,,1.113,0,0.0660,84%,0.0660,,,,,
9/27/2022,Ptown,N,N,C3,B,L,8.98,3.76,December,12/4/2022,68,4+,BL,G106,,,6.58,20.00,15.90,8.80,,,,19.9,16,,9.32,6.9,6.6,10.9,1.108,1.19,,1.121,0,0.0690,84%,0.0690,,,,,
9/27/2022,Ptown,N,N,C3,,,,,December,12/4/2022,68,4+,BL,G107,,,,,,,DUPLICATE LABEL,18.3,18.3,18.2,14.3,,,1.4,9.8,4.6,,,,,,,,,,,,,
9/27/2022,Ptown,S,N,D2,R,,12.98,5.44,December,12/4/2022,68,0-4,R,G111,,,10.02,22.50,17.90,,"LOOKS LIKE RED AND SOME MISSING NAIL POLISH COLOR BUT POSSIBLE JUST RED, growth marking mismatch",,,22.3,17.9,,7.88,9.8,10,9,1.123,1.234,,1.143,0.111,0.0910,82%,0.0910,,,,,
9/27/2022,Ptown,S,N,D2,Y,,12.69,5.28,December,12/4/2022,68,0-4,Y,G112,,,9.99,20.30,18.60,10.10,,,,23.1,18.5,,8.61,9.8,10,10.4,1.116,1.237,,1.137,0.121,0.1000,83%,0.1000,,,,,
9/27/2022,Ptown,S,N,D2,B,,11.8,5.32,December,12/4/2022,68,,NL,,,,8.91,12.50,9.70,,,,,23.1,18.5,,,8.9,8.8,1.7,,,,,,,,,Half shell found in June. ,,,,
9/27/2022,Ptown,S,N,D2,L,,11.51,4.49,December,12/4/2022,68,0-4,L,G113,,,8.68,24.30,19.00,9.90,,,,23.8,18.8,,10.32,8.7,8.7,12,1.098,1.24,,1.129,0.142,0.1110,78%,0.1110,,,,,
9/27/2022,Ptown,S,N,D2,R,Y,11.38,4.67,December,12/4/2022,68,0-4,NO LABEL,,,,8.58,31.10,24.00,10.70,"LARGER THAN MANY AND NO LABEL, BUT GROWTH MARKING PRESENT",,,13.7,10.8,,15.50889,8.6,8.4,2.3,,,,,,,,,,,,,
